gender,name,no_1,no_2,no_3,no_4,no_5
m,Tor Forsse,9,7,10,9,4
m,Ernests Cimborevics,12,9,1,7,
m,Ehsan Ashrafi,19,19,22,14,
m,Andrés Gomez,,,,,
m,Ian Bäckström,10,,6,17,3
m,C-H Wendt,13,6,3,5,14
m,Jan Tivenius,,12,5,11,8
m,Greger Forslöw,,,,,
m,Thomas Schiöler,17,21,9,10,13
m,Mathias Elmfeldt,11,13,,,
m,Lukas Marcos,6,,13,,11
m,Ludvig Dahlström,,,,,
m,Holger Claesson,14,15,11,19,5
m,Peter Franzén,28,,,23,17
f,Linnea Eriksson,20,18,16,12,12
f,Louise Ulltjärn,,,17,8,
m,Anders Brunelius,,,,,20
m,Francesco Pelletta,7,,,15,7
m,Erik Lahomaa,,,,,
m,Teodor Dahlin,29,24,15,16,19
m,Olof Vrethammar,,,,,
f,Eden Rose Renda,,,20,,15
m,Grigori Beskin,1,1,4,1,1
m,Vedran Markota,4,3,2,3,
m,Elwin Elg,2,8,7,6,2
f,Elvira Mårtensson,,,,18,
m,Johan Ström,26,,8,,
m,David Ramsberg,,,,,
m,Benedict Chambers,16,,,,
m,Mio Kimondo Öberg,,,,,
m,Hugo Wik,,,,,
m,Sebastian Homström,,,,,
m,Kurt Benkestock,21,,,,21
m,Georg Andersson,15,14,,,6
m,Daman Heer,,,,,
m,Per Sandgren,24,,,,
m,Alexander Hallonsten,22,,21,20,23
m,Leopold Germer,18,25,25,22,16
f,Neolie Lippert,23,,24,21,24
m,Christopher Kelly,8,4,,4,
m,Linus Islas Flygare,5,2,,2,
m,Otis Karlsson,30,11,,,
f,Vendela Runold,,,23,,
m,Marco Romano,,20,19,,26
m,Erik Stackerud,27,,,13,
m,Sixten Sultan,,,,,
m,Calle Wiman,,,,,18
m,James Barden,25,17,18,23,25
m,Jonathan Svensson,3,,,,
m,Gösta Stål,,10,,,
m,Jakob Fagerstedt,,5,,,
m,Fredrik Marelius,,22,,,
m,Kalle Frode,,16,27,,
m,Jonas Billing,,23,,,
m,Gustav Falkner,,,12,,
m,Isaac Heyes,,,14,,10
m,Joakim Ramsberg,,,26,,
m,Maximiliam Viklund,,,28,,
f,Martha Crowe,,,,25,
m,Lars Lindblad,,,,,9
f,Sophie Engdahl,,,,,22
